symbol,date,open,high,low,close,volume,trade_count,vwap,feed,adjustment
CEG,2025-12-09,355.17,363.61,352.99,358.11,1360279,45163,359.03,sip,all
CEG,2025-12-10,357.52,362.47,345.4,361.03,2382191,66046,356.58,sip,all
CEG,2025-12-11,359.71,378.9,353.32,377.51,2530253,73970,370.08,sip,all
CEG,2025-12-12,377.91,379.68,350.21,350.96,3778565,95584,358.47,sip,all
CEG,2025-12-15,355.62,359.92,349.66,356.11,2628771,74979,356.49,sip,all
CEG,2025-12-16,355.03,367.12,349.32,364.57,2496791,72513,361.14,sip,all
CEG,2025-12-17,367.45,370.93,333.22,339.99,4597994,116083,342.62,sip,all
CEG,2025-12-18,350.97,370.17,347.77,360.01,3773191,104826,359.29,sip,all
CEG,2025-12-19,360.16,367.58,353.17,354.37,5429540,77654,357.25,sip,all
CEG,2025-12-22,362.23,362.9,354.37,356.78,1390333,49575,357.04,sip,all
CEG,2025-12-23,352.12,363.26,351.98,360.29,1404308,45448,360.21,sip,all
CEG,2025-12-24,359.58,363.51,357.96,362.9,628357,21213,361.95,sip,all
CEG,2025-12-26,362.19,362.3,357.37,359.42,758517,33987,359.35,sip,all
CEG,2025-12-29,358.96,367.94,356.99,357.3,1575572,43502,359.42,sip,all
CEG,2025-12-30,356.97,359.64,354.29,356.09,1198656,46402,356.04,sip,all
CEG,2025-12-31,356.69,359.38,351.94,352.25,1234578,41535,353.48,sip,all
CEG,2026-01-02,356.97,372.15,356.97,365.19,2330482,64573,366.54,sip,all
CEG,2026-01-05,371.26,377.41,348.53,353.92,3087815,95952,354.58,sip,all
CEG,2026-01-06,357.42,358.76,345.74,353.56,2448367,72639,351.74,sip,all
CEG,2026-01-07,351.09,351.42,333.82,337.65,2812116,100559,339.5,sip,all
CEG,2026-01-08,336.03,337.65,320.68,321.61,4114342,125429,325.01,sip,all
CEG,2026-01-09,338.52,342.89,332.71,341.53,5908029,151263,338.16,sip,all
CEG,2026-01-12,333.7,339.01,332.04,334.89,2485172,82705,335.73,sip,all
CEG,2026-01-13,334.89,342.66,331.62,332.57,2754407,85999,335.4,sip,all
CEG,2026-01-14,329.05,335.62,324.86,329.43,2448383,74323,329.32,sip,all
CEG,2026-01-15,334.98,345.81,334.07,340.22,3053987,87125,341.24,sip,all
CEG,2026-01-16,321.52,322.12,299.54,306.82,9206946,261406,308.32,sip,all
CEG,2026-01-20,300.61,307.86,291.61,294.55,6079637,176688,297.81,sip,all
CEG,2026-01-21,297.0,299.29,290.1,293.52,5711809,128188,294.24,sip,all
CEG,2026-01-22,299.62,301.86,286.07,286.52,4771562,125628,290.04,sip,all
CEG,2026-01-23,286.61,291.41,284.62,288.23,3785163,103338,288.36,sip,all
CEG,2026-01-26,285.72,290.96,283.59,284.45,3344128,93481,285.3,sip,all
CEG,2026-01-27,285.2,289.56,281.69,287.93,5963885,90409,287.47,sip,all
CEG,2026-01-28,290.51,292.38,284.35,287.12,3279684,86543,287.41,sip,all
CEG,2026-01-29,287.37,291.83,282.29,286.62,3141900,79975,286.15,sip,all
CEG,2026-01-30,282.94,287.51,277.43,279.87,2756334,76605,281.39,sip,all
CEG,2026-02-02,278.38,282.16,268.12,270.1,4044473,113989,272.22,sip,all
CEG,2026-02-03,271.67,272.61,262.95,267.68,3584237,97938,267.05,sip,all
CEG,2026-02-04,268.17,268.17,244.31,249.74,7171952,174398,250.93,sip,all
CEG,2026-02-05,247.43,253.27,242.6,246.35,4001634,103708,246.57,sip,all
CEG,2026-02-06,253.41,263.2,251.65,260.67,6306535,154674,259.34,sip,all
CEG,2026-02-09,262.37,272.13,259.94,271.37,4182026,100699,269.52,sip,all
CEG,2026-02-10,275.02,275.68,266.23,270.36,4603818,98355,271.79,sip,all
CEG,2026-02-11,271.82,276.77,267.48,276.05,3862099,81190,272.94,sip,all
CEG,2026-02-12,277.64,284.55,269.58,275.32,4893443,105801,275.36,sip,all
CEG,2026-02-13,275.19,293.51,271.22,287.6,5450262,123972,287.53,sip,all
CEG,2026-02-17,288.66,306.64,287.17,302.14,5259188,126157,298.98,sip,all
CEG,2026-02-18,304.83,309.76,289.85,293.2,3794427,104783,295.84,sip,all
CEG,2026-02-19,291.64,297.37,288.17,290.82,2550047,67625,291.34,sip,all
CEG,2026-02-20,291.09,296.37,289.04,293.99,3133990,76363,293.62,sip,all
CEG,2026-02-23,293.15,298.89,288.26,292.95,3226559,81888,293.07,sip,all
CEG,2026-02-24,296.55,312.21,289.97,311.74,4655711,112731,307.58,sip,all
CEG,2026-02-25,311.74,326.7,311.62,324.9,5003721,132923,322.53,sip,all
CEG,2026-02-26,323.57,323.98,307.82,322.63,3964508,89518,317.86,sip,all
CEG,2026-02-27,319.08,329.19,317.68,328.93,3443493,78262,326.99,sip,all
CEG,2026-03-02,321.01,332.84,319.8,326.22,3543313,93575,327.87,sip,all
CEG,2026-03-03,312.1,327.45,308.24,323.93,4264004,101715,318.57,sip,all
CEG,2026-03-04,322.83,325.65,317.08,321.92,2345690,75563,321.98,sip,all
CEG,2026-03-05,316.67,331.46,316.67,331.11,3138071,101879,327.43,sip,all
CEG,2026-03-06,326.11,330.54,316.58,318.14,3435470,74220,321.06,sip,all
CEG,2026-03-09,311.78,323.45,308.55,322.49,2740318,74698,318.01,sip,all
CEG,2026-03-10,322.21,325.55,316.2,316.6,2319598,69796,319.99,sip,all
CEG,2026-03-11,316.29,316.44,297.79,300.22,4348015,113575,301.66,sip,all
CEG,2026-03-12,296.54,308.8,294.54,301.08,2753333,69014,303.42,sip,all
CEG,2026-03-13,302.85,308.32,298.41,301.3,1991402,55748,301.96,sip,all
